title_x,imdb_rating
Chaarfutiya Chhokare,6.4
Sonali Cable,5.5
Happy New Year (2014 film),5.1
Super Nani,4.7
Ekkees Toppon Ki Salaami,6.1
Rang Rasiya,7.1
The Shaukeens,5.0
Roar: Tigers of the Sundarbans,5.7
A Decent Arrangement,5.7
Gollu Aur Pappu,4.5
Titoo MBA,4.8
Kill Dil,4.3
Ungli,5.7
Happy Ending (film),5.4
Zed Plus,6.5
Zid (2014 film),4.4
Action Jackson (2014 film),3.2
Bhopal: A Prayer for Rain,7.2
Mumbai Delhi Mumbai,5.8
Badlapur Boys,4.7
Main Aur Mr. Riight,5.2
Ugly (film),8.1
PK (film),8.1
Dehraadun Diary,5.9
Matru Ki Bijlee Ka Mandola,5.6
Sulemani Keeda,7.2
Inkaar (2013 film),6.1
Gangoobai,7.5
Akaash Vani,6.2
Main Krishna Hoon,5.5
Race 2,5.3
Bandook,6.1
Listen... Amaya,6.8
Special 26,8.0
Murder 3,4.9
Zila Ghaziabad,3.5
Kai Po Che!,7.6
Bloody Isshq,7.8
Saare Jahaan Se Mehnga,7.1
3G (film),3.6
Mere Dad Ki Maruti,6.4
Jolly LLB,7.5
Saheb Biwi Aur Gangster Returns,6.8
Mai (2013 film),6.8
Vishwaroopam,8.2
Rangrezz,5.1
Aashiqui 2,7.0
Ek Thi Daayan,5.7
Himmatwala (2013 film),1.7
Nautanki Saala!,5.8
Jayantabhai Ki Luv Story,5.3
Commando: A One Man Army,6.1
Bombay Talkies (film),6.7
Go Goa Gone,6.6
Gippi,5.6
Aurangzeb (film),6.5
Ishkq in Paris,3.8
Zindagi 50-50,2.7
Yeh Jawaani Hai Deewani,7.1
Fukrey,6.9
Chhota Bheem and the Throne of Bali,6.8
Raanjhanaa,7.6
Ankur Arora Murder Case,6.5
Shortcut Romeo,2.4
Ghanchakkar (film),5.8
Hum Hai Raahi Car Ke,3.0
Policegiri,4.0
Bhaag Milkha Bhaag,8.2
Sixteen (2013 Indian film),6.3
B.A. Pass,6.4
Enemmy,5.1
Issaq,4.4
Bajatey Raho,5.3
Luv U Soniyo,5.5
Nasha (film),3.2
Chor Chor Super Chor,6.7
Calapor (film),5.2
D-Day (2013 film),7.2
Siddharth (2013 film),7.3
Once Upon ay Time in Mumbai Dobaara!,4.6
Madras Cafe,7.7
Satyagraha (film),5.9
Shuddh Desi Romance,5.7
Ramaiya Vastavaiya,5.6
Chennai Express,6.0
Grand Masti,4.3
John Day (film),5.7
Horror Story (film),4.3
Phata Poster Nikhla Hero,4.8
Ship of Theseus (film),8.0
The Lunchbox,7.8
Baat Bann Gayi,5.4
Boss (2013 Hindi film),5.1
Shahid (film),8.3
Mickey Virus,6.1
Satya 2,5.9
Rajjo,2.8
Maazii,6.7
Sooper Se Ooper,4.3
Prague (2013 film),5.9
Wake Up India,6.3
Super Model (film),1.9
Gori Tere Pyaar Mein,5.0
What the Fish,5.1
Jackpot (2013 film),2.0
Table No. 21,7.1
Bullett Raja,5.0
Dhoom 3,5.4
Chashme Baddoor (2013 film),5.4
Lootera,7.3
War Chhod Na Yaar,5.5
Chaalis Chauraasi,6.1
Ghost (2012 film),2.2
Sadda Adda,7.1
Singh Saab the Great,5.7
Goliyon Ki Raasleela Ram-Leela,6.4
Agneepath (2012 film),6.9
Ek Main Aur Ekk Tu,5.7
Ekk Deewana Tha,5.9
?: A Question Mark,5.5
Jodi Breakers,3.5
Tere Naal Love Ho Gaya,5.8
Staying Alive (2012 film),5.7
Paan Singh Tomar (film),8.2
Kahaani,8.1
Zindagi Tere Naam,4.7
Agent Vinod (2012 film),5.1
Blood Money (2012 film),5.1
Bumboo,7.2
Valentine's Night,2.7
Married 2 America,4.3
Chaar Din Ki Chandni,4.1
Bittoo Boss,4.1
Vicky Donor,7.8
Hate Story,5.3
Tezz,3.9
Dangerous Ishhq,3.9
Ishaqzaade,6.5
Department (film),3.2
Fatso!,5.7
Arjun: The Warrior Prince,6.8
Life Ki Toh Lag Gayi,5.5
Shanghai (2012 film),7.2
Ferrari Ki Sawaari,6.4
Teri Meri Kahaani (film),4.7
Mr. Bhatti on Chutti,4.0
Yeh Khula Aasmaan,6.9
Rakhtbeej,3.1
Gangs of Wasseypur,8.2
Gangs of Wasseypur – Part 2,8.2
Cocktail (2012 film),6.3
Gattu,7.3
Kyaa Super Kool Hain Hum,5.0
Maximum (film),4.9
Paanch Ghantey Mien Paanch Crore,5.2
Ek Tha Tiger,5.5
Challo Driver,6.0
Shirin Farhad Ki Toh Nikal Padi,4.2
Joker (2012 film),2.4
Aalaap (film),5.8
Mere Dost Picture Abhi Baki Hai,3.5
Krishna Aur Kans,6.3
From Sydney with Love,6.2
Jalpari: The Desert Mermaid,7.2
Barfi!,8.1
Heroine (2012 film),5.1
Chal Pichchur Banate Hain,6.3
Kismat Love Paisa Dilli,4.2
Jeena Hai Toh Thok Daal,6.0
OMG – Oh My God!,8.2
Aiyyaa,4.3
Chittagong (film),7.2
Bhoot Returns,2.5
Delhi Safari,5.7
Chakravyuh (2012 film),6.8
Student of the Year,5.4
Ajab Gazabb Love,4.2
Rush (2012 film),3.7
1920: The Evil Returns,4.8
Sons of Ram,6.5
Ata Pata Laapata,5.6
Jab Tak Hai Jaan,6.7
Talaash: The Answer Lies Within,7.2
Login (film),6.2
Son of Sardaar,4.0
Cigarette Ki Tarah,4.5
Dabangg 2,4.9
Players (2012 film),4.1
Housefull 2,5.2
Bol Bachchan,5.5
English Vinglish,7.8
Impatient Vivek,2.3
Yamla Pagla Deewana,5.6
Mumbai Mast Kallander,5.8
Dhobi Ghat (film),7.0
Turning 30,5.2
Hostel (2011 film),5.1
Dil Toh Baccha Hai Ji,5.7
United Six,3.9
Utt Pataang,6.1
Patiala House (film),5.6
7 Khoon Maaf,6.1
Tanu Weds Manu,6.7
F.A.L.T.U,4.6
Memories in March,7.1
Thank You (2011 film),4.6
Angel (2011 film),6.5
Happy Husbands (2011 film),3.6
Teen Thay Bhai,4.3
Dum Maaro Dum (film),6.2
Shor in the City,7.2
Zokkomon,4.0
Chalo Dilli,6.8
Aashiqui.in,3.7
Satrangee Parachute,5.5
Monica (film),5.6
I Am (2010 Indian film),6.9
Naughty @ 40,2.5
Haunted – 3D,6.2
Love U...Mr. Kalakaar!,5.4
Ragini MMS,4.9
Stanley Ka Dabba,7.8
Shagird (2011 film),7.0
404 (film),7.2
Shaitan (film),7.2
Pyaar Ka Punchnama,7.7
Bheja Fry 2,4.7
Always Kabhi Kabhi,4.0
Double Dhamaal,3.8
Bbuddah... Hoga Terra Baap,5.6
Delhi Belly (film),7.5
Murder 2,6.2
Chillar Party,7.4
Zindagi Na Milegi Dobara,8.1
Dear Friend Hitler,2.6
I Am Kalam,8.0
Bin Bulaye Baraati,3.9
Kucch Luv Jaisaa,4.3
Singham,6.7
Khap (film),5.8
Bubble Gum (film),7.3
Shabri,5.7
Phhir,5.3
Aarakshan,6.2
Chatur Singh Two Star,1.7
Sahi Dhandhe Galat Bande,4.9
Bodyguard (2011 Hindi film),4.6
Yeh Dooriyan,5.1
Not a Love Story (2011 film),5.0
Hum Tum Shabana,3.7
Mummy Punjabi,5.5
Mere Brother Ki Dulhan,5.8
Mausam (2011 film),4.7
U R My Jaan,6.0
Force (2011 film),6.4
Saheb Biwi Aur Gangster,7.2
Tere Mere Phere,5.4
Breakaway (2011 film),5.7
Chargesheet (film),6.3
Love Breakups Zindagi,5.7
Mujhse Fraaandship Karoge,6.9
Aazaan,4.4
Ra.One,4.6
Rockstar (2011 film),7.7
Miley Naa Miley Hum,3.0
Tell Me O Kkhuda,2.5
Damadamm!,4.0
Ladies vs Ricky Bahl,5.9
Desi Boyz,5.7
Game (2011 film),5.1
No One Killed Jessica,7.2
Rascals (2011 film),2.9
The Dirty Picture,6.6
Pyaar Impossible!,4.6
Chance Pe Dance,4.7
My Friend Pinto,5.3
Veer (2010 film),4.6
Striker (2010 film),7.0
Rann (film),6.9
Ishqiya,7.3
Road to Sangam,7.5
Jo Hum Chahein,5.4
Click (2010 film),3.5
Toh Baat Pakki!,5.2
My Name Is Khan,8.0
Teen Patti (film),4.1
Karthik Calling Karthik,7.0
Don 2,7.1
Rokkk,4.3
Aakhari Decision,6.1
Right Yaaa Wrong,6.4
Sukhmani: Hope for Life,5.7
Thanks Maa,8.0
Na Ghar Ke Na Ghaat Ke,6.2
Trump Card (film),2.7
Shaapit,5.5
Hum Tum Aur Ghost,4.7
Well Done Abba,7.3
Tum Milo Toh Sahi,5.7
Jaane Kahan Se Aayi Hai,3.8
Prem Kaa Game,3.5
Sadiyaan,4.6
The Japanese Wife,7.6
Paathshaala,4.9
Phoonk 2,3.2
Lahore (film),6.4
Apartment (film),3.4
City of Gold (2010 film),6.8
Chase (2010 film),4.8
Housefull (2010 film),5.3
Mittal v/s Mittal,4.8
It's a Wonderful Afterlife,5.3
Prince (2010 film),4.2
Raavan,5.4
Bumm Bumm Bole,6.0
Kushti (film),4.3
Kites (film),6.0
Love Sex Aur Dhokha,7.1
Milenge Milenge,4.1
Ek Second... Jo Zindagi Badal De?,3.5
Mr. Singh Mrs. Mehta,4.2
Lamhaa,5.0
Khatta Meetha (2010 film),5.6
Tere Bin Laden,7.2
Udaan (2010 film),8.2
Once Upon a Time in Mumbaai,7.4
Help (film),4.4
Peepli Live,7.4
Lafangey Parindey,5.2
Hello Darling,2.7
Antardwand,7.4
Aashayein,7.1
Soch Lo,6.6
Dabangg,6.3
Khichdi: The Movie,7.2
Red Alert: The War Within,6.4
Life Express (2010 film),4.8
The Film Emotional Atyachar,6.0
Hisss,2.9
Crook (film),5.0
Do Dooni Chaar,7.6
Aakrosh (2010 film),7.0
Ramayana: The Epic,5.9
Knock Out (2010 film),5.9
Jhootha Hi Sahi,6.1
Guzaarish (film),7.4
Allah Ke Banday,6.2
Break Ke Baad,5.2
Khuda Kasam,4.2
Phas Gaye Re Obama,7.5
Malik Ek,7.3
A Flat (film),4.6
No Problem (2010 film),4.2
Band Baaja Baaraat,7.2
Kaalo,3.2
Mirch,6.6
Tees Maar Khan (2010 film),2.5
Isi Life Mein,5.7
Toonpur Ka Super Hero,4.2
Tera Kya Hoga Johnny,6.0
Ramaa: The Saviour,3.4
I Hate Luv Storys,5.6
Dulha Mil Gaya,4.2
Anjaana Anjaani,5.8
Dunno Y... Na Jaane Kyon,3.7
Pankh,3.9
Action Replayy,4.2
3 Idiots,8.4
Luck by Chance,7.0
Love Aaj Kal,6.8
Wanted (2009 film),6.6
Delhi-6,6.0
Raaz: The Mystery Continues,5.6
Aasma: The Sky Is the Limit,3.8
Ajab Prem Ki Ghazab Kahani,6.3
Chal Chala Chal,4.6
Billu,6.1
The Stoneman Murders,7.4
Kisse Pyaar Karoon,3.3
Dhoondte Reh Jaaoge,5.6
Karma Aur Holi,3.0
Victory (2009 film),3.7
Kaminey,7.4
Jai Veeru,3.5
Little Zizou,6.7
Gulaal (film),8.1
Aloo Chaat (film),5.8
Barah Aana,6.8
Firaaq,7.4
Aa Dekhen Zara,5.0
99 (2009 film),7.3
Ek: The Power of One,4.8
Ek Se Bure Do,4.2
Sikandar (2009 film),6.4
Zor Lagaa Ke...Haiya!,6.4
Paying Guests,4.2
New York (2009 film),6.8
Sankat City,6.2
Shortkut,3.4
Luck (2009 film),4.8
Life Partner,5.2
Daddy Cool (2009 Hindi film),3.9
Kisaan,5.4
Yeh Mera India,7.8
Aagey Se Right,5.1
Chintu Ji,5.8
Quick Gun Murugun,5.9
Fox (film),5.2
Baabarr,5.2
Phir Kabhi,6.9
Vaada Raha,5.4
Dil Bole Hadippa!,4.5
What's Your Raashee?,4.6
Acid Factory,5.0
All the Best: Fun Begins,6.1
Wake Up Sid,7.6
Main Aurr Mrs Khanna,3.6
Blue (2009 film),3.7
Bal Ganesh 2,7.4
Fruit and Nut (film),3.0
Aladin (film),4.6
London Dreams,5.4
Jail (2009 film),6.2
Tum Mile,4.9
Kurbaan (2009 film),5.7
De Dana Dan,5.3
Paa (film),7.2
Rocket Singh: Salesman of the Year,7.5
Raat Gayi Baat Gayi?,6.3
Accident on Hill Road,3.9
Chandni Chowk to China,4.0
Dostana (2008 film),6.5
Race (2008 film),6.6
Rab Ne Bana Di Jodi,7.1
Ghajini (2008 film),7.3
Singh Is Kinng,5.7
Golmaal Returns,5.1
Jodhaa Akbar,7.6
Bachna Ae Haseeno,6.2
Bhoothnath,6.3
Sarkar Raj,6.8
Halla Bol,6.1
Humne Jeena Seekh Liya,7.0
Bombay to Bangkok,4.6
Tulsi (film),6.2
Sunday (2008 film),5.3
One Two Three,5.2
Krazzy 4,4.2
U Me Aur Hum,5.9
Sirf (film),6.0
Tashan (film),3.8
